Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Process,Flowchart Shapes,1,,,,,,,
3,Text,Standard,1,,,,,,,cAdvisor
4,Text,Standard,1,,,,,,,Prometheus 
5,Text,Standard,1,,,,,,,Auto-Scaler
6,Process,Flowchart Shapes,1,,,,,,,
7,Text,Standard,1,,,,,,,Autonomic Manager
8,Text,Standard,1,,,,,,,"Docker
Engine"
9,Line,,1,,,5,4,None,Arrow,   Fetch metrics
10,Line,,1,,,3,6,None,Arrow,Monitor container metrics
11,Line,,1,,,5,6,None,Arrow,Send scaling instructions
12,Line,,1,,,4,3,None,Arrow,    Pull metrics
